E_B#3 / keV	N_B#3	E_B#4 / keV	N_B#4
245,5	827	245,5	2137
246,3	730	246,3	2290
247,1	754	247,1	2238
247,9	825	247,9	2197
248,8	756	248,8	2233
249,6	781	249,6	2211
250,4	774	250,4	2327
251,2	783	251,2	2136
252,0	736	252,0	2079
252,8	732	252,8	2067
253,6	705	253,6	1998
254,4	758	254,4	2024
255,3	780	255,3	2005
256,1	800	256,1	1987
256,9	740	256,9	1915
257,7	807	257,7	1815
258,5	717	258,5	1840
259,3	763	259,3	1746
260,1	801	260,1	1661
261,0	704	261,0	1570
261,8	696	261,8	1566
262,6	730	262,6	1463
263,4	719	263,4	1489
264,2	712	264,2	1411
265,0	726	265,0	1349
265,8	751	265,8	1307
266,6	721	266,6	1328
267,5	700	267,5	1234
268,3	707	268,3	1195
269,1	725	269,1	1230
269,9	714	269,9	1168
270,7	759	270,7	1064
271,5	697	271,5	1177
272,3	702	272,3	1080
273,2	668	273,2	1106
274,0	737	274,0	1083
274,8	650	274,8	1128
275,6	713	275,6	1084
276,4	697	276,4	1044
277,2	680	277,2	1134
278,0	698	278,0	1092
278,8	673	278,8	1193
279,7	687	279,7	1205
280,5	699	280,5	1227
281,3	665	281,3	1257
282,1	699	282,1	1351
282,9	753	282,9	1332
283,7	670	283,7	1445
284,5	681	284,5	1473
285,4	711	285,4	1555
286,2	725	286,2	1673
287,0	666	287,0	1657
287,8	695	287,8	1821
288,6	678	288,6	1799
289,4	681	289,4	1938
290,2	692	290,2	1981
291,0	673	291,0	2035
291,9	715	291,9	2125
292,7	669	292,7	2219
293,5	724	293,5	2328
294,3	705	294,3	2398
295,1	659	295,1	2511
295,9	646	295,9	2504
296,7	700	296,7	2633
297,5	693	297,5	2643
298,4	679	298,4	2736
299,2	696	299,2	2763
300,0	696	300,0	2758
300,8	592	300,8	2806
301,6	653	301,6	2764
302,4	634	302,4	2797
303,2	630	303,2	2713
304,1	631	304,1	2785
304,9	696	304,9	2719
305,7	653	305,7	2668
306,5	621	306,5	2580
307,3	700	307,3	2589
308,1	676	308,1	2627
308,9	657	308,9	2572
309,7	681	309,7	2452
310,6	656	310,6	2374
311,4	652	311,4	2329
312,2	646	312,2	2238
313,0	639	313,0	2137
313,8	648	313,8	2055
314,6	667	314,6	1929
315,4	727	315,4	1870
316,3	592	316,3	1858
317,1	685	317,1	1598
317,9	631	317,9	1690
318,7	653	318,7	1563
319,5	666	319,5	1477
320,3	669	320,3	1391
321,1	610	321,1	1348
321,9	619	321,9	1260
322,8	644	322,8	1201
323,6	653	323,6	1150
324,4	676	324,4	1079
325,2	690	325,2	1099
326,0	631	326,0	1068
326,8	654	326,8	986
327,6	657	327,6	1070
328,5	627	328,5	981
329,3	636	329,3	970
330,1	590	330,1	987
330,9	618	330,9	995
331,7	639	331,7	977
332,5	639	332,5	1006
333,3	635	333,3	1063
334,1	687	334,1	1069
335,0	690	335,0	1166
335,8	704	335,8	1214
336,6	607	336,6	1251
337,4	635	337,4	1264
338,2	669	338,2	1402
339,0	615	339,0	1462
339,8	688	339,8	1582
340,6	606	340,6	1571
341,5	590	341,5	1727
342,3	663	342,3	1856
343,1	635	343,1	1976
343,9	652	343,9	2004
344,7	704	344,7	2116
345,5	675	345,5	2234
346,3	647	346,3	2241
347,2	634	347,2	2479
348,0	600	348,0	2585
348,8	636	348,8	2708
349,6	655	349,6	2701
350,4	623	350,4	2837
351,2	669	351,2	2926
352,0	680	352,0	2890
352,8	679	352,8	3028
353,7	646	353,7	3138
354,5	620	354,5	3183
355,3	672	355,3	3294
356,1	654	356,1	3345
356,9	630	356,9	3306
357,7	625	357,7	3288
358,5	602	358,5	3278
359,4	635	359,4	3510
360,2	639	360,2	3327
361,0	687	361,0	3413
361,8	687	361,8	3445
362,6	623	362,6	3343
363,4	691	363,4	3380
364,2	647	364,2	3397
365,0	602	365,0	3238
365,9	670	365,9	3046
366,7	650	366,7	3201
367,5	649	367,5	2913
368,3	632	368,3	2859
369,1	657	369,1	2945
369,9	661	369,9	2789
370,7	652	370,7	2624
371,6	624	371,6	2509
372,4	653	372,4	2356
373,2	600	373,2	2256
374,0	608	374,0	2155
374,8	690	374,8	2044
375,6	632	375,6	1997
376,4	692	376,4	1849
377,2	617	377,2	1781
378,1	644	378,1	1650
378,9	613	378,9	1526
379,7	598	379,7	1507
380,5	622	380,5	1414
381,3	617	381,3	1273
382,1	681	382,1	1249
382,9	627	382,9	1099
383,8	650	383,8	1091
384,6	663	384,6	1021
385,4	639	385,4	976
386,2	668	386,2	878
387,0	651	387,0	888
387,8	661	387,8	899
388,6	657	388,6	798
389,4	729	389,4	798
390,3	646	390,3	763
391,1	666	391,1	783
391,9	637	391,9	718
392,7	666	392,7	714
393,5	689	393,5	672
394,3	617	394,3	688
395,1	640	395,1	654
395,9	646	395,9	675
396,8	624	396,8	635
397,6	646	397,6	627
398,4	678	398,4	635
399,2	670	399,2	626
400,0	663	400,0	606
400,8	607	400,8	639
401,6	680	401,6	572
402,5	692	402,5	586
403,3	676	403,3	602
404,1	672	404,1	593
404,9	662	404,9	591
405,7	654	405,7	603
406,5	643	406,5	593
407,3	675	407,3	554
408,1	657	408,1	627
409,0	651	409,0	528
409,8	643	409,8	521
410,6	626	410,6	538
411,4	609	411,4	579
412,2	625	412,2	574
413,0	652	413,0	549
413,8	679	413,8	509
414,7	671	414,7	546
415,5	672	415,5	538
416,3	688	416,3	518
417,1	690	417,1	541
417,9	688	417,9	512
418,7	672	418,7	497
419,5	686	419,5	525
420,3	666	420,3	492
421,2	700	421,2	490
422,0	712	422,0	478
422,8	707	422,8	507
423,6	703	423,6	493
424,4	663	424,4	479
425,2	703	425,2	451
426,0	714	426,0	448
426,9	679	426,9	489
427,7	743	427,7	463
428,5	637	428,5	405
429,3	729	429,3	439
430,1	723	430,1	441
430,9	694	430,9	478
